#x       Exact    Computed
18.000000 0.652572 0.652579
18.050000 0.646827 0.646835
18.100000 0.639466 0.639475
18.150000 0.630506 0.630516
18.200000 0.619970 0.619980
18.250000 0.607885 0.607895
18.300000 0.594280 0.594291
18.350000 0.579190 0.579200
18.400000 0.562652 0.562662
18.450000 0.544708 0.544717
18.500000 0.525402 0.525411
18.550000 0.504783 0.504792
18.600000 0.482902 0.482910
18.650000 0.459815 0.459821
18.700000 0.435578 0.435583
18.750000 0.410252 0.410256
18.800000 0.383901 0.383903
18.850000 0.356590 0.356590
18.900000 0.621610 0.621610
18.950000 0.620833 0.620835
19.000000 0.618505 0.618508
19.050000 0.614630 0.614635
19.100000 0.609219 0.609225
19.150000 0.602286 0.602292
19.200000 0.593847 0.593854
19.250000 0.583923 0.583931
19.300000 0.572541 0.572548
19.350000 0.559727 0.559734
19.400000 0.545514 0.545522
19.450000 0.529938 0.529945
19.500000 0.513037 0.513044
19.550000 0.494854 0.494860
19.600000 0.475434 0.475440
19.650000 0.454825 0.454831
19.700000 0.433080 0.433085
19.750000 0.410252 0.410256
19.800000 0.386399 0.386402
19.850000 0.361580 0.361582
19.900000 0.335857 0.335857
19.950000 0.581683 0.581683
20.000000 0.580956 0.580957
20.050000 0.578777 0.578779
20.100000 0.575151 0.575154
20.150000 0.570088 0.570091
20.200000 0.563600 0.563603
20.250000 0.555703 0.555707
20.300000 0.546417 0.546421
20.350000 0.535766 0.535770
20.400000 0.523775 0.523779
20.450000 0.510475 0.510479
20.500000 0.495899 0.495903
20.550000 0.480084 0.480087
20.600000 0.463068 0.463072
20.650000 0.444896 0.444899
20.700000 0.425611 0.425614
20.750000 0.405263 0.405265
20.800000 0.383901 0.383903
20.850000 0.361580 0.361582
20.900000 0.338355 0.338356
20.950000 0.314285 0.314285
21.000000 0.540302 0.540302
21.050000 0.539627 0.539627
21.100000 0.537603 0.537603
21.150000 0.534235 0.534235
21.200000 0.529532 0.529532
21.250000 0.523506 0.523506
21.300000 0.516171 0.516171
21.350000 0.507545 0.507545
21.400000 0.497651 0.497651
21.450000 0.486514 0.486514
21.500000 0.474160 0.474160
21.550000 0.460621 0.460621
21.600000 0.445931 0.445931
21.650000 0.430126 0.430126
21.700000 0.413246 0.413246
21.750000 0.395333 0.395333
21.800000 0.376432 0.376432
21.850000 0.356590 0.356590
21.900000 0.335857 0.335857
21.950000 0.314285 0.314285
22.000000 0.291927 0.291927
